"acra","acra_library"
"org.apache.juddi","juddiv3-war-repl"
"org.apache.juddi","uddi-tck-base"
"org.apache.kafka","connect-api"
"org.apache.kafka","kafka_2.10"
"org.apache.kafka","kafka_2.11"
"org.apache.kafka","kafka_2.12"
"org.apache.kafka","kafka-clients"
"org.apache.kafka","kafka-streams"
"org.apache.karaf","apache-karaf"
"org.apache.karaf","org.apache.karaf.client"
"org.apache.karaf","org.apache.karaf.main"
"org.apache.karaf","org.apache.karaf.util"
"org.apache.karaf.jaas","org.apache.karaf.jaas.modules"
"org.apache.karaf.management","org.apache.karaf.management.server"
"org.apache.karaf.shell","org.apache.karaf.shell.console"
"org.apache.karaf.shell","org.apache.karaf.shell.core"
"org.apache.karaf.specs","org.apache.karaf.specs.java.xml"
"org.apache.karaf.tooling","karaf-maven-plugin"
"org.apache.karaf.webconsole","org.apache.karaf.webconsole.features"
"org.apache.karaf.webconsole","org.apache.karaf.webconsole.gogo"
"org.apache.karaf.webconsole","org.apache.karaf.webconsole.instance"
"org.apache.knox","gateway"
"org.apache.knox","gateway-provider-identity-assertion-common"
"org.apache.knox","gateway-release"
"org.apache.kylin","kylin"
"org.apache.kylin","kylin-core-common"
"org.apache.kylin","kylin-jdbc"
"org.apache.kylin","kylin-server-base"
"org.apache.livy","livy-server"
"org.apache.logging.log4j","log4j"
"org.apache.logging.log4j","log4j-core"
"org.apache.lucene","lucene-core"
"org.apache.lucene","lucene-queryparser"
"org.apache.lucene","lucene-xml-query-parser"
"org.apache.marmotta","marmotta-loader-berkeley"
"org.apache.marmotta","marmotta-loader-hbase"
"org.apache.marmotta","marmotta-loader-kiwi"
"org.apache.maven","maven-aether-provider"
"org.apache.maven","maven-artifact"
"org.apache.maven","maven-compat"
"org.apache.maven","maven-core"
"org.apache.maven","maven-embedder"
"org.apache.maven","maven-model"
"org.apache.maven","maven-model-builder"
"org.apache.maven","maven-plugin-api"
"org.apache.maven","maven-repository-metadata"
"org.apache.maven","maven-settings"
"org.apache.maven","maven-settings-builder"
"org.apache.maven.shared","maven-shared-utils"
"org.apache.maven.wagon","wagon-http-shared"
